Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050177,Urbano,RUA ANGELINA BRAGA CORTEZZI,488,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,3,82410220
410690205050177,Urbano,RUA ANGELINA BRAGA CORTEZZI,498,CASA 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,3,82410220
410690205050177,Urbano,RUA ANGELINA BRAGA CORTEZZI,498,CASA 3 FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,3,82410220
410690205050177,Urbano,RUA PADRE COLBACCHINI,984,CASA 1 FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,4,82410310
410690205050177,Urbano,RUA ANGELINA BRAGA CORTEZZI,476,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,3,82410220
410690205050177,Urbano,RUA PADRE COLBACCHINI,998,CASA FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,4,82410310
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,551,SOBRADO 1,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,537,LOJA,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,LAN HOUSE,Único,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,525,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,2,82410370
410690205050177,Urbano,RUA ROMULO CEZAR ALVES,63C,SOBRELOJA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,1,82410230
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,499,LOJA 2,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,PET SHOP,Único,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,499,LOJA 1,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,LOJA DE PRESENTES,Único,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,513,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,537,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,551,SOBRADO,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,551,LOJA 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,551,SOBRELOJA,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,IGREJA,Único,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,551,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,LOJA DE ROUPA INFANTIL,Único,,4,2,82410370
410690205050177,Urbano,RUA EDSON CAMPOS MATESICH,567,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,PADARIA,Único,,4,2,82410370
410690205050177,Urbano,RUA ROMULO CEZAR ALVES,29,SOBRADO 1,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,1,82410230
410690205050177,Urbano,RUA ROMULO CEZAR ALVES,29,SOBRADO 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,4,1,82410230
