Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050144,Urbano,RUA ANGELO SLOMPO,SN,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,220,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,SN,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,132,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,SN,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,COMERCIO BEBIDAS,Único,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,SN,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,162,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,AQUARIUM FAUNA E FLORA,Múltiplo,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,154,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,182,FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,182,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,4067,FRENTE,,,SANTA FELICIDADE,,Edificação em construção,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,4067,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,240,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,240,FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,240,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,92,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,96,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,76,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,35,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,CASA DE VINHOS,Único,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,15,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,RUA ANGELO SLOMPO,14,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82020480
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5712,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,ARTESANATO,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5734,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,RESTAURANTE SICILIANO,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5760,LOJA 1,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,ROUPAS VENDA,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5760,LOJA 2,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,LOJA DE ROUPAS,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5760,SOBRELOJA,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,IMOBILIARIA,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5764,LOTE,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,TORRE,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5774,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5788,TERREO,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,BANCO SANTANDER,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5788,SOBRELOJA,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,ODONTO E ADVOCACIA,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5800,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,RESTAURANTE PORTAL,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5824,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,CENTRO COMERCIAL,Múltiplo,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5852,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,RESTAURANTE VELHO MADALOSSO,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5846,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,RESTAURANTE ANELLO,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5884,TERREO,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,VENDA ARTESANATOS,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5884,SOBRELOJA SALA 1,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,ORGANIACAO CONTABIL,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5884,SOBRELOJA SALA 2,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,MANUTENCAO COMPUTADORES,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5884,SOBRELOJA SALA 3,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,ORTODONTIA,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5890,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,CENTRO COMERCIAL,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5906,TERREO,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,LOJA DE ROUPAS,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5906,SOBRADO,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,SN,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,BANCA DE REVISTAS,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5930,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,VENDA DE ROUPAS,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5966,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,TOALHAS ENXOVAL LOJA FECHADA,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,SN,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,LOJA DE CELULAR,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,SN,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,VENDA ACESSORIOS FEMININOS,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5966,LOJA 1,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,BAR,Único,,1,4,82020000
410690205050144,Urbano,AVENIDA MANOEL RIBAS,5966,LOJA 2,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,CHAVEIRO,Único,,1,4,82020000
