Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,85,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,259,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,259,SUBSOLO,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,305,APARTAMENTO 6,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,305,APARTAMENTO 3,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,305,APARTAMENTO 1,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,305,APARTAMENTO 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,305,APARTAMENTO 4,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA VEREADOR JOBAR CASSOU,305,APARTAMENTO 5,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,7,82020520
410690205050142,Urbano,RUA MARCOS MOCELLIN,314,FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,8,82020510
410690205050142,Urbano,RUA MARCOS MOCELLIN,328,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,6,8,82020510
410690205050142,Urbano,RUA 28 DE OUTUBRO,120,SUBSOLO,,,SANTA FELICIDADE,,Domicílio particular,,-0,,3,4,82020570
410690205050142,Urbano,RUA CORONEL CARLOS VIEIRA DE CAMARGO,206,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,3,1,82020590
